Location ,Rep,Population Density,Plot No.,Hybrid,AD,SD,ASI,Plant Ht,RL,SL,GY,N/Ears,R/Cob,K/Row,1000GWT
NaSARRI,2,75 * 30,24,6,65,68,3,189,11,11,,26,12.7,40.7,382.9
NaSARRI,2,75 * 30,25,14,64,63,-1,171,6,6,,25,14,43,232.1
NaSARRI,2,75 * 30,26,9,68,70,2,174,7,27,,29,12.7,34.3,257.4
NaSARRI,2,75 * 30,27,13,68,69,1,158,4,11,,23,15.3,40.7,288.6
NaSARRI,2,75 * 30,28,16,68,68,0,196,4,4,,28,12,39.3,337.6
NaSARRI,2,75 * 30,29,17,68,69,1,188,3,3,,27,12,42.7,309.6
NaSARRI,2,75 * 30,30,5,67,68,1,170,0,14,,25,12.7,39,293
NaSARRI,2,75 * 30,31,8,66,69,3,148,7,18,,20,13.3,36,201.5
NaSARRI,2,75 * 30,32,15,67,69,2,153,7,0,,25,14,36.7,266.6
NaSARRI,2,75 * 30,33,3,72,76,4,166,4,4,,13,14,26.7,272.4
NaSARRI,2,75 * 30,34,1,70,71,1,185,13,29,,19,12.7,34.7,254
NaSARRI,2,75 * 30,35,7,68,68,0,196,0,0,,26,13.3,40.3,291.6
NaSARRI,2,75 * 30,36,2,67,70,3,177,16.7,3,,25,14,41,265.6
Ngetta,1,75 * 30,1,17,65,76,11,207,,,,6,,,
Ngetta,1,75 * 30,2,2,67,73,6,190,,,,7,,,
Ngetta,1,75 * 30,3,9,68,73,5,194,,,,4,,,
Ngetta,1,75 * 30,4,3,75,,,186,,,,0,,,
Ngetta,1,75 * 30,5,16,69,,,165,,,,0,,,
Ngetta,1,75 * 30,6,13,61,63,2,170,,,,2,,,
Ngetta,1,75 * 30,7,14,61,63,2,183,,,,12,,,
Ngetta,1,75 * 30,8,5,67,71,4,206,,,,10,,,
Ngetta,1,75 * 30,9,6,64,67,3,206,,,,14,,,
Ngetta,1,75 * 30,10,4,68,74,6,191,,,,6,,,
Ngetta,1,75 * 30,11,8,64,66,2,194,,,,14,,,
Ngetta,1,75 * 30,12,11,70,74,4,204,,,,11,,,
Ngetta,1,75 * 30,13,10,64,66,2,195,,,,21,,,
Ngetta,1,75 * 30,14,12,62,64,2,216,,,,18,,,
Ngetta,1,75 * 30,15,18,63,65,2,189,,,,15,,,
Ngetta,1,75 * 30,16,15,63,65,2,195,,,,13,,,
Ngetta,1,75 * 30,17,1,71,76,5,187,,,,7,,,
Ngetta,1,75 * 30,18,7,76,69,-7,217,,,,14,,,
Ngetta,2,75 * 30,19,9,76,,,183,,,,2,,,
Ngetta,2,75 * 30,20,7,72,,,202,,,,5,,,
Ngetta,2,75 * 30,21,12,69,73,4,193,,,,12,,,
Ngetta,2,75 * 30,22,17,66,68,2,180,,,,8,,,
Ngetta,2,75 * 30,23,8,64,67,3,180,,,,14,,,
Ngetta,2,75 * 30,24,4,64,67,3,152,,,,0,,,
Ngetta,2,75 * 30,25,13,69,,,193,,,,11,,,
Ngetta,2,75 * 30,26,10,62,64,2,194,,,,11,,,
Ngetta,2,75 * 30,27,6,62,64,2,191,,,,7,,,
Ngetta,2,75 * 30,28,15,66,68,2,196,,,,12,,,
Ngetta,2,75 * 30,29,3,64,66,2,135,,,,2,,,
Ngetta,2,75 * 30,30,5,72,,,135,,,,5,,,
Ngetta,2,75 * 30,31,11,64,67,3,218,,,,12,,,
Ngetta,2,75 * 30,32,14,59,62,3,196,,,,15,,,
Ngetta,2,75 * 30,33,2,65,72,7,217,,,,15,,,
Ngetta,2,75 * 30,34,1,67,70,3,208,,,,8,,,
Ngetta,2,75 * 30,35,18,63,65,2,206,,,,11,,,
Ngetta,2,75 * 30,36,16,64,68,4,175,,,,5,,,
Bulindi,1,75 * 20,1,17,70,73,3,208.2,0,13,5.9,39,14,42.7,445
Bulindi,1,75 * 20,2,2,73,75,2,190.8,0,17,4.8,33,13.3,39.3,393.8
Bulindi,1,75 * 20,3,9,73,74,1,221,4,4,8.3,11,13.3,44,476.4
Bulindi,1,75 * 20,4,3,74,75,1,215.6,3,31,6.4,26,12.7,37.7,425.9
Bulindi,1,75 * 20,5,16,73,75,2,214.5,9,45,2.1,25,11.3,41.3,457.8
Bulindi,1,75 * 20,6,13,70,73,3,235.8,10,10,7.5,27,13.3,39.7,421.5
Bulindi,1,75 * 20,7,14,71,74,3,234.6,0,13,8.6,11,14,41,419.8
Bulindi,1,75 * 20,8,5,70,71,1,195.2,3,6,5.8,31,13.3,34.3,438.7
Bulindi,1,75 * 20,9,6,71,73,2,215.6,0,0,8.7,39,14.7,39.3,435.4
Bulindi,1,75 * 20,10,4,68,68,0,186.2,10,8,6.3,32,12.7,40,450
Bulindi,1,75 * 20,11,8,70,71,1,173.2,0,5,6.8,35,12.7,34,461.7
Bulindi,1,75 * 20,12,11,71,71,0,173.6,14,7,5.9,31,12,41,366
Bulindi,1,75 * 20,13,10,76,75,-1,144,3,3,5.4,33,13.3,33,337.9
Bulindi,1,75 * 20,14,12,73,79,6,175.2,6,3,6.4,31,15.3,41.7,437.7
Bulindi,1,75 * 20,15,18,74,72,-2,193,0,9,6.4,26,12.7,38.7,450
Bulindi,1,75 * 20,16,15,71,74,3,179,3,0,7.5,30,14,41.3,443.3
Bulindi,1,75 * 20,17,1,68,68,0,210.6,0,9,8.6,27,16,40.7,427
Bulindi,1,75 * 20,18,7,75,77,2,133,0,6,3.2,33,14,32.7,408.1
Bulindi,2,75 * 20,19,9,71,73,2,215,3,17,4.8,28,13.3,38.7,501.8
Bulindi,2,75 * 20,20,7,73,75,2,186.8,20,7,4.7,25,14,34.7,450
Bulindi,2,75 * 20,21,12,76,77,1,145.6,0,4,3.2,13,13.3,34.7,438.1
Bulindi,2,75 * 20,22,17,70,72,2,230.4,0,19,7.8,32,13.3,39,450
Bulindi,2,75 * 20,23,8,69,72,3,194.2,0,2,6.4,37,14,37,433
Bulindi,2,75 * 20,24,4,72,74,2,204.6,0,16,5.9,15,12,38,468.3
Bulindi,2,75 * 20,25,13,71,74,3,213.8,0,12,4.2,24,14,44,458.9
Bulindi,2,75 * 20,26,10,73,75,2,220,0,4,3.2,31,15.3,38.7,431.4
Bulindi,2,75 * 20,27,6,71,72,1,207.6,0,3,5.7,31,12,37.3,412.6
Bulindi,2,75 * 20,28,15,73,75,2,170.2,0,10,4.6,38,13.3,34,380.7
Bulindi,2,75 * 20,29,3,71,71,0,189.8,3,0,7.3,36,12,38,451
Bulindi,2,75 * 20,30,5,70,71,1,203.6,0,8,6.4,33,14,36.7,433.9
Bulindi,2,75 * 20,31,11,71,73,2,192,5,5,9.2,31,12.7,41.3,457.5
Bulindi,2,75 * 20,32,14,73,75,2,151.2,0,0,4.2,20,13.3,33.7,435.9
Bulindi,2,75 * 20,33,2,68,69,1,213.4,0,3,9.1,41,15.3,40.3,436.5
Bulindi,2,75 * 20,34,1,68,68,0,167,0,27,5.3,24,12.7,38,434.8
Bulindi,2,75 * 20,35,18,73,73,0,205.6,3,47,6.3,30,13.3,38.7,480.8
Bulindi,2,75 * 20,36,16,68,67,-1,206.6,0,19,8,28,14,36.7,441.4
NaCRRI,1,75 * 20,1,3,71,72,1,205.2,0,0,5.32,26,14,40.6,431.5
NaCRRI,1,75 * 20,2,6,64,66,2,261.4,0,0,6.81,26,12.6,46,470.6
NaCRRI,1,75 * 20,3,10,63,66,3,239,0,17.65,7.01,27,13.3,44,505.7
NaCRRI,1,75 * 20,4,4,67,69,2,219.8,0,3.3,4.16,27,12,33.6,428.5
NaCRRI,1,75 * 20,5,5,64,67,3,254.4,0,0,6.03,19,12.6,43.6,477.9
NaCRRI,1,75 * 20,6,13,63,67,4,223.4,0,0,5.01,18,15.3,48,491.4
NaCRRI,1,75 * 20,7,18,65,67,2,233.8,0,0,5.01,23,14,48.6,452
NaCRRI,1,75 * 20,8,12,65,68,3,239.4,0.8,0,6.7,27,13.3,48.3,449.5
NaCRRI,1,75 * 20,9,14,63,65,2,210.2,0,0,4.5,27,13.3,41.3,381.7
NaCRRI,1,75 * 20,10,9,68,70,2,232.4,0,16.67,5.4,27,13.3,41.6,502.9
NaCRRI,1,75 * 20,11,15,63,66,3,242.4,0.03,8.82,5.2,29,15.3,43.6,475.4
NaCRRI,1,75 * 20,12,2,66,68,2,244.2,0.03,8.83,8.32,38,13.3,45,446
NaCRRI,1,75 * 20,13,17,65,68,3,236.8,0,0,3.46,15,12.6,43.3,505.8
NaCRRI,1,75 * 20,14,16,66,69,3,238.2,0,0,4.46,25,12.6,39.6,496
NaCRRI,1,75 * 20,15,7,65,68,3,278.4,0.1,10,7.34,33,15.3,43,452.9
NaCRRI,1,75 * 20,16,8,64,67,3,262,0,10.34,5.46,28,15.3,43,508.5
NaCRRI,1,75 * 20,17,11,69,71,2,260.2,0,4.17,7.03,26,14,45.6,491.6
NaCRRI,1,75 * 20,18,1,68,70,2,269.4,0,7.69,4.91,25,13.3,38,500.3
NaCRRI,2,75 * 20,19,11,66,68,2,268.4,0,0,7.37,25,14,43.3,518.9
NaCRRI,2,75 * 20,20,10,64,67,3,232.6,0.04,0,6.54,28,14.6,40,497
NaCRRI,2,75 * 20,21,3,69,71,2,218.4,0,5.71,4.25,36,14,33.3,351.8
NaCRRI,2,75 * 20,22,15,63,67,4,238.8,0,0,4.96,26,15.3,43.3,424.1
NaCRRI,2,75 * 20,23,7,64,67,3,286.2,0.03,0,8.5,30,14,44.1,500.9
NaCRRI,2,75 * 20,24,2,65,68,3,271.8,0,15.79,8.11,41,14,44.3,481.4
NaCRRI,2,75 * 20,25,16,64,67,3,247.6,0,0,7.11,45,12,33.6,459.1
NaCRRI,2,75 * 20,26,5,64,68,4,273.2,0.05,0,6.09,23,14,41.6,510.7
NaCRRI,2,75 * 20,27,17,63,68,5,232.8,0,0,7.14,34,12,44.3,494.8
NaCRRI,2,75 * 20,28,4,67,69,2,214.6,0,6.45,4.81,30,14,36,481.3
NaCRRI,2,75 * 20,29,14,63,66,3,219.4,0,0,4.59,28,14,44.3,467
NaCRRI,2,75 * 20,30,12,63,66,3,252.8,0,0,5.95,26,13.3,43.6,443.7
NaCRRI,2,75 * 20,31,18,63,67,4,246.6,0,0,5.46,28,14,46.3,449.7
NaCRRI,2,75 * 20,32,13,65,68,3,232.6,0,13.33,7.43,33,1.3,38.6,449.6
NaCRRI,2,75 * 20,33,8,64,67,3,260.2,0,21.21,6.54,34,14,43.6,478.65
NaCRRI,2,75 * 20,34,9,68,70,2,232,0,12.5,6.05,29,14,35,459.98
NaCRRI,2,75 * 20,35,1,69,71,2,224.2,0,31.82,4.95,33,14,37,486.58
NaCRRI,2,75 * 20,36,6,67,69,2,259.4,0,12.9,7.58,38,12,43.3,507.05
NaSARRI,1,75 * 20,1,11,69,69,0,223,24,5,4.12,25,13.3,38.3,289.5
NaSARRI,1,75 * 20,2,16,68,69,1,228,15,5,3.45,34,12.7,34.7,267.1
NaSARRI,1,75 * 20,3,9,67,69,2,215,12,21,3.91,14,13.3,36.3,257.9
NaSARRI,1,75 * 20,4,4,69,71,2,181,32,3,1.51,22,12.7,31.3,257.8
NaSARRI,1,75 * 20,5,15,63,63,0,218,8,3,4.33,25,14.7,35.7,276.8
NaSARRI,1,75 * 20,6,7,63,65,2,250,19,8,4.49,28,12.7,39.7,267.5
NaSARRI,1,75 * 20,7,2,66,69,3,245,78,43,2.38,23,14,31.3,290.5
NaSARRI,1,75 * 20,8,17,66,66,0,218,42,6,3.19,19,12,39,257.7
NaSARRI,1,75 * 20,9,6,65,67,2,210,22,7,3.87,24,12.7,39,298.5
NaSARRI,1,75 * 20,10,1,63,63,0,217,37,13,2.62,15,13.3,35.3,336.9
NaSARRI,1,75 * 20,11,10,63,63,0,194,41,9,-0.63,32,14,38.3,278.9
NaSARRI,1,75 * 20,12,14,64,67,3,217,15,4,3.96,34,13.3,37,266.4
NaSARRI,1,75 * 20,13,8,64,65,1,213,28,0,3.95,28,13.3,38,195
NaSARRI,1,75 * 20,14,18,66,66,0,217,14,3,3.22,20,14,40.3,227.1
NaSARRI,1,75 * 20,15,5,66,68,2,241,48,5,4.24,18,14,39,280.8
NaSARRI,1,75 * 20,16,3,69,73,4,173,69,9,0.76,5,14.7,27,245.8
NaSARRI,1,75 * 20,17,13,65,66,1,205,41,8,4.01,17,14,38,216.3
NaSARRI,1,75 * 20,18,12,66,68,2,217,49,19,3.22,31,14,32.3,252.8
NaSARRI,2,75 * 20,19,10,64,64,0,211,35,5,3.37,10,13.3,35.7,300.4
NaSARRI,2,75 * 20,20,11,77,73,-4,212,56,9,2.05,19,16,39.3,276.7
NaSARRI,2,75 * 20,21,18,66,67,1,188,17,6,2.6,23,14,37.7,280.6
NaSARRI,2,75 * 20,22,12,69,70,1,208,5,2,3.11,27,13.3,36,262.7
NaSARRI,2,75 * 20,23,4,71,77,6,168,49,14,0.54,8,12.7,23.7,272.9
NaSARRI,2,75 * 20,24,6,64,68,4,208,21,2,5.42,25,12.7,36.7,210.4
NaSARRI,2,75 * 20,25,14,64,65,1,181,2,0,5.21,29,14.7,35.3,303
NaSARRI,2,75 * 20,26,9,71,74,3,188,16,13,1.63,14,14,34.3,221.7
NaSARRI,2,75 * 20,27,13,67,70,3,163,14,6,3.23,16,14.7,35.7,264.8
NaSARRI,2,75 * 20,28,16,70,71,1,187,5,13,2.16,16,14,35.7,260
NaSARRI,2,75 * 20,29,17,67,68,1,211,17,10,3.25,29,12.7,39,269.3
NaSARRI,2,75 * 20,30,5,66,68,2,218,30,14,3.25,15,13.3,37.7,290.5
NaSARRI,2,75 * 20,31,8,64,65,1,169,25,0,2.71,21,14.7,44.3,316.6
NaSARRI,2,75 * 20,32,15,65,65,0,210,3,0,5.25,19,14,40.3,275.8
NaSARRI,2,75 * 20,33,3,70,73,3,176,37,4,1.51,4,13.3,34,287.7
NaSARRI,2,75 * 20,34,1,70,70,0,177,37,3,2.17,6,13.3,36,244.8
NaSARRI,2,75 * 20,35,7,69,69,0,207,3,3,3.22,5,13.3,39.3,232.3
NaSARRI,2,75 * 20,36,2,67,70,3,190,47,6,2.72,16,13.3,39.3,280.5
Ngetta,1,75 * 20,1,8,66,65,1,210,,,,24,,,
Ngetta,1,75 * 20,2,5,69,75,6,190,,,,17,,,
Ngetta,1,75 * 20,3,11,63,66,3,200,,,,3,,,
Ngetta,1,75 * 20,4,1,73,,,163,,,,16,,,
Ngetta,1,75 * 20,5,9,69,73,4,190,,,,17,,,
Ngetta,1,75 * 20,6,6,68,70,2,180,,,,16,,,
Ngetta,1,75 * 20,7,7,64,,,179,,,,18,,,
Ngetta,1,75 * 20,8,18,67,68,1,208,,,,15,,,
Ngetta,1,75 * 20,9,12,66,69,3,214,,,,21,,,
Ngetta,1,75 * 20,10,14,69,73,4,169,,,,9,,,
Ngetta,1,75 * 20,11,10,63,66,3,200,,,,29,,,
Ngetta,1,75 * 20,12,17,68,71,3,186,,,,18,,,
Ngetta,1,75 * 20,13,4,65,67,2,174,,,,22,,,
Ngetta,1,75 * 20,14,2,66,68,2,178,,,,22,,,
Ngetta,1,75 * 20,15,16,65,67,2,199,,,,12,,,
Ngetta,1,75 * 20,16,13,67,69,2,194,,,,14,,,
Ngetta,1,75 * 20,17,15,70,72,2,187,,,,12,,,
Ngetta,1,75 * 20,18,3,68,72,4,194,,,,16,,,
Ngetta,2,75 * 20,19,12,69,73,4,172,,,,10,,,
Ngetta,2,75 * 20,20,13,66,68,2,191,,,,16,,,
Ngetta,2,75 * 20,21,3,62,64,2,191,,,,22,,,
Ngetta,2,75 * 20,22,7,63,66,,199,,,,17,,,
Ngetta,2,75 * 20,23,8,67,71,4,201,,,,23,,,
Ngetta,2,75 * 20,24,9,67,71,4,182,,,,5,,,
Ngetta,2,75 * 20,25,2,67,70,2,188,,,,11,,,
Ngetta,2,75 * 20,26,11,66,69,3,189,,,,22,,,
Ngetta,2,75 * 20,27,16,65,67,2,198,,,,8,,,
Ngetta,2,75 * 20,28,5,66,68,2,160,,,,12,,,
Ngetta,2,75 * 20,29,17,72,,,157,,,,3,,,
Ngetta,2,75 * 20,30,18,65,68,1,200,,,,16,,,
Ngetta,2,75 * 20,31,6,70,73,3,178,,,,12,,,
Ngetta,2,75 * 20,32,4,62,64,2,200,,,,23,,,
Ngetta,2,75 * 20,33,15,67,70,3,198,,,,16,,,
Ngetta,2,75 * 20,34,14,67,69,3,183,,,,13,,,
Ngetta,2,75 * 20,35,1,66,68,2,190,,,,13,,,
Ngetta,2,75 * 20,36,10,72,75,3,183,,,,10,,,
